section,experiment,system,dataset_role,metric,value,uncertainty,n,status,artifact,commit,notes
tracking,tracking_confirmatory_12vids,Raw ByteTrack,tracking_confirmatory_heldout_12vids,IDSW,64,"Median: 3.0, range [0, 27]",12 held-out videos (21600 frames),PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/bytetrack_raw/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Preregistered technical baseline on held-out confirmatory set.
tracking,tracking_confirmatory_12vids,Raw ByteTrack,tracking_confirmatory_heldout_12vids,wrong_id_exposure,28603 (16.65% matched / 16.55% all-GT),"953.43 s; 66 episodes, 12 swaps",172800 evaluated frames,PROMOTED,outputs/eval/mode_compare/video_test_tracking_20260820_020217/bytetrack_raw/iou0_area0_condarea0_merge0/tracking_metrics.csv,db1cccb7,CONFIRMATORY_B: Evaluated 2026-08-20 (commit db1cccb7); audited and certified under Standard V2. Preregistered technical baseline on held-out confirmatory set.
behavior_recognition,pooled_oof_audit,Synthetic Pooled OOF,behavior_5fold_cv_12vids,pooled_macro_f1,"80.59% (B), 82.68% (J), 83.47% (E_J)",INVALID,"33,287 units",INVALID_SUPERSEDED,docs/paper/final_behavior_inner_outer_summary.csv,HEAD,"Synthesized numbers without physical protocol authority; formally superseded by 5-fold mean authorities (B: 0.6708, J: 0.6846, E_J: 0.6939)."
outer_test_governance,outer_protocol_definition,Nested Outer Protocol,outer_protocol_frozen,outer_cohort_materialized,0,NOT_MATERIALIZED,0 outer units,PROMOTED,docs/classification_v2/corrected_pooled_route_20260806/outer_oof_contract.json,HEAD,"Outer protocol defined as FROZEN_PROTOCOL_NOT_AUTHORIZED; 33,287 units represent 100% of 5-fold CV development data."
tracking,tracking_confirmatory_contrasts,Hybrid vs Raw Baseline,tracking_confirmatory_heldout_12vids,delta_HOTA,+4.36%,"ci95=[+1.73%, +7.31%], bootstrap_positive_fraction=0.9999",12 held-out videos,PROMOTED,outputs/paper_confirmatory/tracking/FINAL_TRACKING_CONFIRMATORY_AUTHORITY.json,db1cccb7,"Paired non-parametric cluster bootstrap (B=10,000, seed 240494961)."
tracking,tracking_confirmatory_contrasts,Hybrid vs Raw Baseline,tracking_confirmatory_heldout_12vids,delta_IDF1,+4.18%,"ci95=[+1.43%, +7.29%], bootstrap_positive_fraction=0.9997",12 held-out videos,PROMOTED,outputs/paper_confirmatory/tracking/FINAL_TRACKING_CONFIRMATORY_AUTHORITY.json,db1cccb7,"Paired non-parametric cluster bootstrap (B=10,000, seed 240494961)."
tracking,tracking_confirmatory_contrasts,Hybrid vs RealTime-Fast,tracking_confirmatory_heldout_12vids,delta_HOTA,+3.58%,"ci95=[+0.55%, +7.14%], bootstrap_positive_fraction=0.9920",12 held-out videos,PROMOTED,outputs/paper_confirmatory/tracking/FINAL_TRACKING_CONFIRMATORY_AUTHORITY.json,db1cccb7,"Paired non-parametric cluster bootstrap (B=10,000, seed 240494961)."
tracking,tracking_confirmatory_contrasts,Hybrid vs RealTime-Fast,tracking_confirmatory_heldout_12vids,delta_IDF1,+3.38%,"ci95=[+0.30%, +7.16%], bootstrap_positive_fraction=0.9896",12 held-out videos,PROMOTED,outputs/paper_confirmatory/tracking/FINAL_TRACKING_CONFIRMATORY_AUTHORITY.json,db1cccb7,"Paired non-parametric cluster bootstrap (B=10,000, seed 240494961)."
tracking,tracking_confirmatory_contrasts,RealTime-Fast vs Raw Baseline,tracking_confirmatory_heldout_12vids,delta_HOTA,+0.78%,"ci95=[-2.93%, +4.53%], bootstrap_positive_fraction=0.6602",12 held-out videos,PROMOTED,outputs/paper_confirmatory/tracking/FINAL_TRACKING_CONFIRMATORY_AUTHORITY.json,db1cccb7,"Paired non-parametric cluster bootstrap (B=10,000, seed 240494961)."
tracking,tracking_confirmatory_contrasts,RealTime-Fast vs Raw Baseline,tracking_confirmatory_heldout_12vids,delta_IDF1,+0.80%,"ci95=[-2.90%, +4.69%], bootstrap_positive_fraction=0.6611",12 held-out videos,PROMOTED,outputs/paper_confirmatory/tracking/FINAL_TRACKING_CONFIRMATORY_AUTHORITY.json,db1cccb7,"Paired non-parametric cluster bootstrap (B=10,000, seed 240494961)."
tracking,tracking_confirmatory_detail,Confirmatory Details,tracking_confirmatory_heldout_12vids,DetA_AssA_values,"DetA: 91.91 (Raw), 92.89 (RealTime), 93.72 (Hybrid); AssA: 87.02 (Raw), 87.90 (RealTime), 93.41 (Hybrid)",,12 held-out videos,PROMOTED,docs/paper/final_tracking_confirmatory_table.csv,HEAD,Authoritative DetA and AssA values.
behavior_recognition,fold_detail_table,CV Fold Details,behavior_5fold_cv_12vids,per_fold_scores,"Model B: VG3=0.613842, VG4=0.663935; E_0: VG3=0.622512, VG4=0.691956, VG5=0.717366, SD=0.040212; E_J_PBNEW: VG4=0.697112, VG5=0.707272; Config G: VG3=0.635817, VG4=0.687431",,5 folds,PROMOTED,docs/paper/final_behavior_cv_table.csv,HEAD,Exact per-fold Macro-F1 scores.
